copy dev.tpostcode (postcode_1,name,lat,long) from postcode.dat with delimited as ','


"postcode","district","x","y","latitude","longitude"
"TN34","Tonbridge",581800,110400,50.86,0.58
"TN35","Tonbridge",583800,112300,50.88,0.61
"TN36","Tonbridge",589900,117000,50.92,0.70
"TN37","Tonbridge",580000,111200,50.87,0.55
"TN38","Tonbridge",579100,110200,50.86,0.54
"TN39","Tonbridge",572800,108100,50.84,0.45
"TN4","Tonbridge",558000,141000,51.14,0.25
"TN40","Tonbridge",574900,108000,50.84,0.48
"TN5","Tonbridge",565500,132200,51.06,0.36
"TN6","Tonbridge",552400,130400,51.05,0.17
"TN7","Tonbridge",547700,134700,51.09,0.10
"TN8","Tonbridge",545300,146000,51.19,0.07
"TN9","Tonbridge",559100,146000,51.19,0.27
"TQ1","Torquay",292000,64700,50.47,-3.52
"TQ10","Torquay",270800,59900,50.42,-3.81
"TQ11","Torquay",273600,66200,50.48,-3.78
"TQ12","Torquay",285800,71200,50.52,-3.61
"TQ13","Torquay",278400,78500,50.59,-3.71
"TQ14","Torquay",293300,73400,50.55,-3.50
"TQ2","Torquay",290500,65000,50.47,-3.54
"TQ3","Torquay",288200,61600,50.44,-3.57
"TQ4","Torquay",288500,59400,50.42,-3.57
"TQ5","Torquay",291800,55800,50.39,-3.52
"TQ6","Torquay",287000,50900,50.34,-3.58
"TQ7","Torquay",273000,44100,50.28,-3.78
"TQ8","Torquay",273700,39000,50.23,-3.77
"TQ9","Torquay",280000,58800,50.41,-3.69
"TR1","Truro",182400,44800,50.26,-5.05
"TR10","Truro",177400,34300,50.16,-5.11
"TR11","Truro",179500,32300,50.14,-5.08
"TR12","Truro",172400,20800,50.04,-5.17
"TR13","Truro",165200,28500,50.10,-5.28
"TR14","Truro",164800,39700,50.21,-5.29
"TR15","Truro",169200,42000,50.23,-5.23
"TR16","Truro",170400,42000,50.23,-5.22
"TR17","Truro",152200,30800,50.12,-5.46
"TR18","Truro",146900,30100,50.11,-5.54
"TR19","Truro",140600,28600,50.10,-5.62
"TR2","Truro",189600,43500,50.25,-4.95
"TR20","Truro",150700,31600,50.13,-5.48
"TR21","Truro",94600,12000,49.93,-6.25
"TR22","Truro",88100,8200,49.89,-6.34
"TR23","Truro",87900,15000,49.95,-6.35
"TR24","Truro",89200,15200,49.95,-6.33
"TR25","Truro",92200,16000,49.96,-6.29
"TR26","Truro",151800,39500,50.20,-5.47
"TR27","Truro",157100,36900,50.18,-5.40
"TR3","Truro",178200,39900,50.21,-5.10
"TR4","Truro",176600,47400,50.28,-5.13
"TR5","Truro",172800,50300,50.30,-5.19
"TR6","Truro",175800,53900,50.34,-5.15
"TR7","Truro",181700,61600,50.41,-5.07
"TR8","Truro",184200,59900,50.39,-5.03
"TR9","Truro",191400,61300,50.41,-4.93
"TS1","Teeside",449300,519900,54.57,-1.23
"TS10","Teeside",460200,523900,54.60,-1.06
"TS11","Teeside",463000,521800,54.58,-1.02
"TS12","Teeside",466900,519100,54.56,-0.96
"TS13","Teeside",474100,517800,54.55,-0.85
"TS14","Teeside",460800,515600,54.53,-1.06
"TS15","Teeside",443400,510900,54.49,-1.33
"TS16","Teeside",441900,514500,54.52,-1.35
"TS17","Teeside",445100,516000,54.53,-1.30
"TS18","Teeside",443800,518800,54.56,-1.32
"TS19","Teeside",442400,520500,54.57,-1.34
"TS2","Teeside",449400,521300,54.58,-1.23
"TS20","Teeside",444400,521400,54.58,-1.31
"TS21","Teeside",437100,525900,54.62,-1.42
"TS22","Teeside",444300,525000,54.61,-1.31
"TS23","Teeside",446200,523900,54.60,-1.28
"TS24","Teeside",450900,533800,54.69,-1.21
"TS25","Teeside",450100,530100,54.66,-1.22
"TS26","Teeside",449700,532800,54.68,-1.22
"TS27","Teeside",445900,536700,54.72,-1.28
"TS28","Teeside",440400,536900,54.72,-1.37
"TS29","Teeside",437400,535200,54.71,-1.41
"TS3","Teeside",452000,518700,54.56,-1.19
"TS4","Teeside",450300,518100,54.55,-1.22
"TS5","Teeside",448500,517600,54.55,-1.25
"TS6","Teeside",454800,519300,54.56,-1.15
"TS7","Teeside",452800,515700,54.53,-1.18
"TS8","Teeside",449800,514300,54.52,-1.23
"TS9","Teeside",454200,508200,54.46,-1.16
"TW1","Twickenham",516400,173700,51.45,-0.32
"TW10","Twickenham",518000,173700,51.45,-0.30
"TW11","Twickenham",516000,171100,51.42,-0.33
"TW12","Twickenham",513400,170500,51.42,-0.36
"TW13","Twickenham",511200,172300,51.43,-0.40
"TW14","Twickenham",509900,173800,51.45,-0.41
"TW15","Twickenham",507400,171300,51.43,-0.45
"TW16","Twickenham",510200,169700,51.41,-0.41
"TW17","Twickenham",508100,167700,51.39,-0.44
"TW18","Twickenham",503800,171000,51.42,-0.50
"TW19","Twickenham",504100,173700,51.45,-0.50
"TW2","Twickenham",514700,173300,51.44,-0.35
"TW20","Twickenham",500800,170800,51.42,-0.55
"TW3","Twickenham",513800,175600,51.46,-0.36
"TW4","Twickenham",512300,175400,51.46,-0.38
"TW5","Twickenham",512400,177000,51.48,-0.38
"TW6","Twickenham",507900,175700,51.47,-0.44
"TW7","Twickenham",515800,176300,51.47,-0.33
"TW8","Twickenham",517600,177700,51.48,-0.30
"TW9","Twickenham",518500,175700,51.46,-0.29
"UB1","Uvbridge",512900,180800,51.51,-0.37
"UB10","Uvbridge",507300,184400,51.54,-0.45
"UB11","Uvbridge",507000,181200,51.51,-0.45
"UB2","Uvbridge",512500,179100,51.49,-0.37
"UB3","Uvbridge",509500,179700,51.50,-0.42
"UB4","Uvbridge",510500,181800,51.52,-0.40
"UB5","Uvbridge",512700,184000,51.54,-0.37
"UB6","Uvbridge",514900,183600,51.53,-0.34
"UB7","Uvbridge",506200,179700,51.50,-0.46
"UB8","Uvbridge",505900,182900,51.53,-0.47
"UB9","Uvbridge",504600,188100,51.58,-0.49
"W1","London",528900,181200,51.51,-0.14
"W10","London",523900,181800,51.52,-0.21
"W11","London",524600,180800,51.51,-0.20
"W12","London",522900,180300,51.50,-0.23
"W13","London",516600,180700,51.51,-0.32
"W14","London",524300,178900,51.49,-0.20
"W1B","London",529100,181100,51.51,-0.13
"W1C","London",528500,181100,51.51,-0.14
"W1D","London",529700,181100,51.51,-0.13
"W1F","London",529400,181000,51.51,-0.13
"W1G","London",528600,181600,51.51,-0.14
"W1H","London",527700,181400,51.51,-0.15
"W1J","London",528800,180400,51.50,-0.14
"W1K","London",528400,180800,51.51,-0.14
"W1M","London",528400,181600,51.51,-0.14
"W1S","London",529000,180800,51.51,-0.14
"W1T","London",529400,181800,51.52,-0.13
"W1U","London",528200,181600,51.51,-0.15
"W1W","London",529100,181700,51.51,-0.14
"W2","London",526400,181200,51.51,-0.17
"W3","London",520200,180400,51.50,-0.26
"W4","London",520600,178400,51.49,-0.26
"W5","London",517900,180700,51.51,-0.30
"W6","London",523000,178600,51.49,-0.22
"W7","London",515600,180500,51.51,-0.33
"W8","London",525400,179500,51.50,-0.19
"W9","London",525500,182400,51.52,-0.19
"WA1","Warrington",362200,388800,53.39,-2.56
"WA10","Warrington",349900,395500,53.45,-2.75
"WA11","Warrington",352300,398100,53.47,-2.71
"WA12","Warrington",358100,395400,53.45,-2.63
"WA13","Warrington",368800,387400,53.38,-2.46
"WA14","Warrington",376200,387800,53.38,-2.35
"WA15","Warrington",378400,387500,53.38,-2.32
"WA16","Warrington",375300,378500,53.30,-2.37
"WA2","Warrington",361400,390600,53.41,-2.58
"WA3","Warrington",363600,395400,53.45,-2.54
"WA4","Warrington",361800,385500,53.36,-2.57
"WA5","Warrington",357700,389300,53.39,-2.63
"WA6","Warrington",351800,375300,53.27,-2.72
"WA7","Warrington",353200,381700,53.33,-2.70
"WA8","Warrington",350700,386400,53.37,-2.74
"WA9","Warrington",352300,393600,53.43,-2.71
"WC1","London",530300,182000,51.52,-0.12
"WC1A","London",530100,181500,51.51,-0.12
"WC1B","London",530000,181700,51.51,-0.12
"WC1E","London",529600,181900,51.52,-0.13
"WC1H","London",530000,182300,51.52,-0.12
"WC1N","London",530400,182000,51.52,-0.12
"WC1R","London",530700,181700,51.51,-0.11
"WC1V","London",530500,181500,51.51,-0.11
"WC1X","London",530700,182400,51.52,-0.11
"WC2","London",530200,181100,51.51,-0.12
"WC2A","London",530800,181400,51.51,-0.11
"WC2B","London",530300,181300,51.51,-0.12
"WC2E","London",530200,181000,51.51,-0.12
"WC2H","London",529900,181100,51.51,-0.12
"WC2N","London",530100,180700,51.51,-0.12
"WC2R","London",530500,180900,51.51,-0.11
"WD1","Watford",510700,195500,51.64,-0.40
"WD17","Watford",510300,197100,51.66,-0.40
"WD18","Watford",509700,195600,51.64,-0.41
"WD19","Watford",511400,193800,51.63,-0.39
"WD2","Watford",512200,197800,51.66,-0.37
"WD23","Watford",513100,195400,51.64,-0.36
"WD24","Watford",510800,198100,51.67,-0.39
"WD25","Watford",511400,199600,51.68,-0.38
"WD3","Watford",505100,195200,51.64,-0.48
"WD4","Watford",506700,202300,51.70,-0.45
"WD5","Watford",509400,201900,51.70,-0.41
"WD6","Watford",519300,196800,51.65,-0.27
"WD7","Watford",516900,200000,51.68,-0.30
"WF1","Wakefield",433600,421300,53.68,-1.49
"WF10","Wakefield",443300,425500,53.72,-1.34
"WF11","Wakefield",449100,424100,53.71,-1.25
"WF12","Wakefield",425100,420900,53.68,-1.62
"WF13","Wakefield",423400,421900,53.69,-1.64
"WF14","Wakefield",420300,420500,53.68,-1.69
"WF15","Wakefield",419900,423600,53.70,-1.69
"WF16","Wakefield",421900,423800,53.71,-1.66
"WF17","Wakefield",423700,424800,53.71,-1.64
"WF2","Wakefield",432300,419700,53.67,-1.51
"WF3","Wakefield",431400,425300,53.72,-1.52
"WF4","Wakefield",431800,416900,53.64,-1.51
"WF5","Wakefield",428000,420500,53.68,-1.57
"WF6","Wakefield",438700,422800,53.70,-1.41
"WF7","Wakefield",442900,419100,53.66,-1.35
"WF8","Wakefield",446300,421200,53.68,-1.29
"WF9","Wakefield",445000,412400,53.60,-1.32
"WN1","Wigan",358500,406600,53.55,-2.62
"WN2","Wigan",361400,404600,53.53,-2.58
"WN3","Wigan",357300,403800,53.52,-2.64
"WN4","Wigan",357400,400000,53.49,-2.64
"WN5","Wigan",354600,404100,53.53,-2.68
"WN6","Wigan",355700,408800,53.57,-2.66
"WN7","Wigan",365700,400300,53.49,-2.51
"WN8","Wigan",349100,406500,53.55,-2.76
"WR1","Worcester",385200,255500,52.19,-2.21
"WR10","Worcester",395600,246300,52.11,-2.06
"WR11","Worcester",404900,244100,52.09,-1.92
"WR12","Worcester",408700,238300,52.04,-1.87
"WR13","Worcester",376600,244100,52.09,-2.34
"WR14","Worcester",378200,246200,52.11,-2.31
"WR15","Worcester",361300,267600,52.30,-2.56
"WR2","Worcester",383500,254700,52.19,-2.24
"WR3","Worcester",385600,257600,52.21,-2.21
"WR4","Worcester",387400,256300,52.20,-2.18
"WR5","Worcester",386400,253300,52.17,-2.19
"WR6","Worcester",374700,258900,52.22,-2.37
"WR7","Worcester",396400,255400,52.19,-2.05
"WR8","Worcester",386100,242700,52.08,-2.20
"WR9","Worcester",389300,263400,52.26,-2.15
"WS1","Walsall",401500,298000,52.57,-1.97
"WS10","Walsall",398600,295900,52.56,-2.02
"WS11","Walsall",398800,310200,52.68,-2.01
"WS12","Walsall",400100,312100,52.70,-1.99
"WS13","Walsall",412300,310500,52.69,-1.81
"WS14","Walsall",412600,307300,52.66,-1.81
"WS15","Walsall",405600,317900,52.75,-1.91
"WS2","Walsall",399900,299000,52.58,-2.00
"WS3","Walsall",400700,302300,52.61,-1.99
"WS4","Walsall",402800,300900,52.60,-1.95
"WS5","Walsall",402800,296700,52.56,-1.95
"WS6","Walsall",398500,306700,52.65,-2.02
"WS7","Walsall",405900,309200,52.68,-1.91
"WS8","Walsall",404500,305400,52.64,-1.93
"WS9","Walsall",405600,301300,52.60,-1.91
"WV1","Wolverhampton",392200,298700,52.58,-2.11
"WV10","Wolverhampton",392400,302200,52.61,-2.11
"WV11","Wolverhampton",395200,301400,52.61,-2.07
"WV12","Wolverhampton",397300,300900,52.60,-2.03
"WV13","Wolverhampton",395900,298600,52.58,-2.06
"WV14","Wolverhampton",394700,295500,52.55,-2.07
"WV15","Wolverhampton",374600,291000,52.51,-2.37
"WV16","Wolverhampton",370100,290500,52.51,-2.44
"WV2","Wolverhampton",392000,297400,52.57,-2.11
"WV3","Wolverhampton",389800,298000,52.58,-2.15
"WV4","Wolverhampton",390400,296100,52.56,-2.14
"WV5","Wolverhampton",385800,292900,52.53,-2.20
"WV6","Wolverhampton",387700,299800,52.59,-2.18
"WV7","Wolverhampton",381700,304000,52.63,-2.27
"WV8","Wolverhampton",387600,302900,52.62,-2.18
"WV9","Wolverhampton",390500,304000,52.63,-2.14
"YO1","York",460300,451800,53.95,-1.08
"YO10","York",461800,450900,53.95,-1.05
"YO11","York",504500,486700,54.26,-0.39
"YO12","York",502700,487600,54.27,-0.42
"YO13","York",497900,489100,54.28,-0.49
"YO14","York",511100,479500,54.19,-0.29
"YO15","York",519200,468000,54.09,-0.17
"YO16","York",517700,468100,54.09,-0.20
"YO17","York",481400,471900,54.13,-0.75
"YO18","York",480300,485500,54.25,-0.76
"YO19","York",464300,446500,53.91,-1.02
"YO21","York",483500,509800,54.47,-0.71
"YO22","York",489400,507000,54.45,-0.62
"YO23","York",457700,448100,53.92,-1.12
"YO24","York",458100,450400,53.94,-1.11
"YO25","York",504000,457700,54.00,-0.41
"YO26","York",454300,453500,53.97,-1.17
"YO30","York",458100,454800,53.98,-1.11
"YO31","York",461400,453000,53.96,-1.06
"YO32","York",461700,457700,54.01,-1.05
"YO41","York",472000,453200,53.96,-0.90
"YO42","York",479400,448100,53.92,-0.79
"YO43","York",486200,440100,53.85,-0.69
"YO51","York",440800,465300,54.08,-1.37
"YO60","York",469300,465700,54.08,-0.94
"YO61","York",452700,469200,54.11,-1.19
"YO62","York",465600,483500,54.24,-0.99
"YO7","York",442400,481100,54.22,-1.35
"YO8","York",462100,432100,53.78,-1.05
"ZE1","Shetland Isles",446200,1141100,60.15,-1.16
"ZE2","Shetland Isles",442800,1160900,60.33,-1.22
"ZE3","Shetland Isles",439000,1111100,59.88,-1.30
